prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q1-N-S,Q1,soil_health,N,S,229,2,1,3,2,CC: soil test rec +1. 'Soil food web' used once.
Q1-N-M,Q1,soil_health,N,M,298,2,1,3,2,CC: 'a soil test is worth it' (conditional) +1.
Q1-N-L,Q1,soil_health,N,L,266,3,0,3,2,"'Broadfork,' 'daikon radish,' 'sodicity' mentioned. 'Bio-drillers' term."
Q1-NOV-S,Q1,soil_health,NOV,S,246,2,1,3,1,CC: 'Test your soil if you can' +1.
Q1-NOV-M,Q1,soil_health,NOV,M,319,2,0,3,1,"'Gypsum only if soil test suggests' — conditional use, not a CC."
Q1-NOV-L,Q1,soil_health,NOV,L,431,2,0,3,1,
Q1-MOD-S,Q1,soil_health,MOD,S,235,2,1,3,2,CC: 'A simple soil test helps you avoid guessing' +1.
Q1-MOD-M,Q1,soil_health,MOD,M,415,3,0,3,2,"'Cereal rye + hairy vetch,' 'daikon/tillage radish' named. '1.2 cubic yards' calculated. Extension links."
Q1-MOD-L,Q1,soil_health,MOD,L,599,3,0,3,2,"'Bio-drillers,' 'broadforking,' 'leaf mold,' '1.2 cubic yards.' Extension links."
Q1-EXP-S,Q1,soil_health,EXP,S,291,3,1,3,2,"CC: 'a soil test is worth it' +1. 'Gypsum only if sodium issue,' 'aggregates and pore continuity.'"
Q1-EXP-M,Q1,soil_health,EXP,M,386,3,1,3,2,CC: 'get a basic soil test through your extension service' +1. '1.2-2.5 cubic yards' calculated.
Q1-EXP-L,Q1,soil_health,EXP,L,652,3,1,3,2,CC: 'Get a basic soil test through your county Extension office' +1. Multiple extension links.
Q1-PRO-S,Q1,soil_health,PRO,S,320,3,1,2,3,"CC: 'a soil test is worth it' +1. 'Fungal networks,' 'chop-and-drop,' 'biomass cycling.' RS=2: no specific quantities."
Q1-PRO-M,Q1,soil_health,PRO,M,364,4,1,3,3,"CC: 'CEC/base saturation' soil test + field assessment +1. 'CEC/base saturation,' 'infiltration rate,' 'whole-profile clay limitation' — expert vocabulary."
Q1-PRO-L,Q1,soil_health,PRO,L,684,3,1,3,2,"CC: 'Get a soil test first' +1. 'Broadfork,' 'tillage radish,' multiple extension links."
Q2-N-S,Q2,fertilizer,N,S,159,2,0,3,2,
Q2-N-M,Q2,fertilizer,N,M,281,2,1,3,2,CC: 'get a soil test' +1.
Q2-N-L,Q2,fertilizer,N,L,504,2,1,3,2,CC: 'get a soil test' +1. Extension links. 'Fish emulsion or seaweed extract' named.
Q2-NOV-S,Q2,fertilizer,NOV,S,148,2,0,3,1,
Q2-NOV-M,Q2,fertilizer,NOV,M,296,2,1,3,1,"CC: 'If possible, get a soil test' +1."
Q2-NOV-L,Q2,fertilizer,NOV,L,326,2,0,3,1,
Q2-MOD-S,Q2,fertilizer,MOD,S,199,2,0,3,2,
Q2-MOD-M,Q2,fertilizer,MOD,M,291,2,1,3,2,CC: 'a soil test is the smartest next step' +1.
Q2-MOD-L,Q2,fertilizer,MOD,L,364,2,1,3,2,CC: 'the highest-value next step is a soil test' +1.
Q2-EXP-S,Q2,fertilizer,EXP,S,228,2,0,2,2,"No specific quantities. 'Aggregation, microbial activity, slow nutrient cycling.'"
Q2-EXP-M,Q2,fertilizer,EXP,M,426,2,1,3,2,CC: 'the best next step is a soil test' +1.
Q2-EXP-L,Q2,fertilizer,EXP,L,361,2,1,3,2,CC: 'smartest next step is a soil test' +1. Extension links. 'Organic or slow-release vegetable fertilizer.'
Q2-PRO-S,Q2,fertilizer,PRO,S,252,3,1,2,3,"CC: soil test recommendation +1. 'N-P-K timing,' 'mineralization from compost,' 'P and Na.' RS=2: no specific quantities."
Q2-PRO-M,Q2,fertilizer,PRO,M,333,3,1,3,3,"CC: 'highest-value next step is a soil test' +1. 'Phosphorus and soluble salts,' expert insight."
Q2-PRO-L,Q2,fertilizer,PRO,L,468,3,1,3,3,"CC: 'based on a soil test' +1. 'CEC,' 'aggregation,' 'immature compost can tie up nitrogen.' 'CEC' used without definition."
Q3-N-S,Q3,pest_control,N,S,264,2,0,2,2,IPM used without definition. 'Parasitic wasps' named.
