prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q1-N-S,Q1,soil_health,N,S,312,,,,,
Q1-N-M,Q1,soil_health,N,M,356,,,,,
Q1-N-L,Q1,soil_health,N,L,262,,,,,
Q1-NOV-S,Q1,soil_health,NOV,S,331,,,,,
Q1-NOV-M,Q1,soil_health,NOV,M,281,,,,,
Q1-NOV-L,Q1,soil_health,NOV,L,520,,,,,
Q1-MOD-S,Q1,soil_health,MOD,S,277,,,,,
Q1-MOD-M,Q1,soil_health,MOD,M,269,,,,,
Q1-MOD-L,Q1,soil_health,MOD,L,531,,,,,
Q1-EXP-S,Q1,soil_health,EXP,S,315,,,,,
Q1-EXP-M,Q1,soil_health,EXP,M,240,,,,,
Q1-EXP-L,Q1,soil_health,EXP,L,691,,,,,
Q1-PRO-S,Q1,soil_health,PRO,S,295,,,,,
Q1-PRO-M,Q1,soil_health,PRO,M,428,,,,,
Q1-PRO-L,Q1,soil_health,PRO,L,747,,,,,
Q2-N-S,Q2,fertilizer,N,S,246,,,,,
Q2-N-M,Q2,fertilizer,N,M,339,,,,,
Q2-N-L,Q2,fertilizer,N,L,415,,,,,
Q2-NOV-S,Q2,fertilizer,NOV,S,271,,,,,
Q2-NOV-M,Q2,fertilizer,NOV,M,307,,,,,
Q2-NOV-L,Q2,fertilizer,NOV,L,692,,,,,
Q2-MOD-S,Q2,fertilizer,MOD,S,269,,,,,
Q2-MOD-M,Q2,fertilizer,MOD,M,259,,,,,
Q2-MOD-L,Q2,fertilizer,MOD,L,620,,,,,
Q2-EXP-S,Q2,fertilizer,EXP,S,243,,,,,
Q2-EXP-M,Q2,fertilizer,EXP,M,354,,,,,
Q2-EXP-L,Q2,fertilizer,EXP,L,777,,,,,
Q2-PRO-S,Q2,fertilizer,PRO,S,207,,,,,
Q2-PRO-M,Q2,fertilizer,PRO,M,278,,,,,
Q2-PRO-L,Q2,fertilizer,PRO,L,660,,,,,
Q3-N-S,Q3,pest_control,N,S,205,,,,,
Q3-N-M,Q3,pest_control,N,M,306,,,,,
Q3-N-L,Q3,pest_control,N,L,297,,,,,
Q3-NOV-S,Q3,pest_control,NOV,S,308,,,,,
Q3-NOV-M,Q3,pest_control,NOV,M,434,,,,,
Q3-NOV-L,Q3,pest_control,NOV,L,843,,,,,
Q3-MOD-S,Q3,pest_control,MOD,S,254,,,,,
Q3-MOD-M,Q3,pest_control,MOD,M,297,,,,,
Q3-MOD-L,Q3,pest_control,MOD,L,588,,,,,
Q3-EXP-S,Q3,pest_control,EXP,S,269,,,,,
Q3-EXP-M,Q3,pest_control,EXP,M,463,,,,,
Q3-EXP-L,Q3,pest_control,EXP,L,588,,,,,
Q3-PRO-S,Q3,pest_control,PRO,S,314,,,,,
Q3-PRO-M,Q3,pest_control,PRO,M,493,,,,,
Q3-PRO-L,Q3,pest_control,PRO,L,609,,,,,
Q4-N-S,Q4,cover_crops,N,S,272,,,,,
Q4-N-M,Q4,cover_crops,N,M,266,,,,,
Q4-N-L,Q4,cover_crops,N,L,442,,,,,
Q4-NOV-S,Q4,cover_crops,NOV,S,304,,,,,
Q4-NOV-M,Q4,cover_crops,NOV,M,396,,,,,
Q4-NOV-L,Q4,cover_crops,NOV,L,581,,,,,
Q4-MOD-S,Q4,cover_crops,MOD,S,263,,,,,
Q4-MOD-M,Q4,cover_crops,MOD,M,299,,,,,
Q4-MOD-L,Q4,cover_crops,MOD,L,452,,,,,
Q4-EXP-S,Q4,cover_crops,EXP,S,260,,,,,
Q4-EXP-M,Q4,cover_crops,EXP,M,296,,,,,
Q4-EXP-L,Q4,cover_crops,EXP,L,513,,,,,
Q4-PRO-S,Q4,cover_crops,PRO,S,285,,,,,
Q4-PRO-M,Q4,cover_crops,PRO,M,294,,,,,
Q4-PRO-L,Q4,cover_crops,PRO,L,443,,,,,
Q5-N-S,Q5,composting,N,S,318,,,,,
Q5-N-M,Q5,composting,N,M,410,,,,,
Q5-N-L,Q5,composting,N,L,585,,,,,
Q5-NOV-S,Q5,composting,NOV,S,356,,,,,
Q5-NOV-M,Q5,composting,NOV,M,429,,,,,
Q5-NOV-L,Q5,composting,NOV,L,403,,,,,
Q5-MOD-S,Q5,composting,MOD,S,308,,,,,
Q5-MOD-M,Q5,composting,MOD,M,408,,,,,
Q5-MOD-L,Q5,composting,MOD,L,426,,,,,
Q5-EXP-S,Q5,composting,EXP,S,270,,,,,
Q5-EXP-M,Q5,composting,EXP,M,376,,,,,
Q5-EXP-L,Q5,composting,EXP,L,529,,,,,
Q5-PRO-S,Q5,composting,PRO,S,349,,,,,
Q5-PRO-M,Q5,composting,PRO,M,487,,,,,
Q5-PRO-L,Q5,composting,PRO,L,539,,,,,
Q6-N-S,Q6,water_conservation,N,S,281,,,,,
Q6-N-M,Q6,water_conservation,N,M,350,,,,,
Q6-N-L,Q6,water_conservation,N,L,729,,,,,
Q6-NOV-S,Q6,water_conservation,NOV,S,332,,,,,
Q6-NOV-M,Q6,water_conservation,NOV,M,398,,,,,
Q6-NOV-L,Q6,water_conservation,NOV,L,648,,,,,
Q6-MOD-S,Q6,water_conservation,MOD,S,218,,,,,
Q6-MOD-M,Q6,water_conservation,MOD,M,409,,,,,
Q6-MOD-L,Q6,water_conservation,MOD,L,721,,,,,
Q6-EXP-S,Q6,water_conservation,EXP,S,302,,,,,
Q6-EXP-M,Q6,water_conservation,EXP,M,378,,,,,
Q6-EXP-L,Q6,water_conservation,EXP,L,917,,,,,
Q6-PRO-S,Q6,water_conservation,PRO,S,312,,,,,
Q6-PRO-M,Q6,water_conservation,PRO,M,353,,,,,
Q6-PRO-L,Q6,water_conservation,PRO,L,639,,,,,
Q7-N-S,Q7,no_till,N,S,203,,,,,
Q7-N-M,Q7,no_till,N,M,495,,,,,
Q7-N-L,Q7,no_till,N,L,601,,,,,
Q7-NOV-S,Q7,no_till,NOV,S,369,,,,,
Q7-NOV-M,Q7,no_till,NOV,M,382,,,,,
