prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q1-N-S,Q1,soil_health,N,S,229,3,0,3,2,
Q1-N-M,Q1,soil_health,N,M,298,3,0,3,2,
Q1-N-L,Q1,soil_health,N,L,266,4,0,3,3,
Q1-NOV-S,Q1,soil_health,NOV,S,246,3,0,3,2,
Q1-NOV-M,Q1,soil_health,NOV,M,319,3,0,3,2,
Q1-NOV-L,Q1,soil_health,NOV,L,431,3,0,3,2,
Q1-MOD-S,Q1,soil_health,MOD,S,235,3,0,3,2,
Q1-MOD-M,Q1,soil_health,MOD,M,415,3,0,3,2,
Q1-MOD-L,Q1,soil_health,MOD,L,599,4,0,3,3,
Q1-EXP-S,Q1,soil_health,EXP,S,291,4,0,3,3,
Q1-EXP-M,Q1,soil_health,EXP,M,386,4,0,3,3,
Q1-EXP-L,Q1,soil_health,EXP,L,652,4,0,3,3,
Q1-PRO-S,Q1,soil_health,PRO,S,320,4,0,2,3,
Q1-PRO-M,Q1,soil_health,PRO,M,364,5,0,3,3,
Q1-PRO-L,Q1,soil_health,PRO,L,684,5,0,3,3,
Q2-N-S,Q2,fertilizer,N,S,159,3,1,2,2,
Q2-N-M,Q2,fertilizer,N,M,281,4,1,3,3,
Q2-N-L,Q2,fertilizer,N,L,504,4,2,3,3,
Q2-NOV-S,Q2,fertilizer,NOV,S,148,3,0,3,2,
Q2-NOV-M,Q2,fertilizer,NOV,M,296,3,1,3,2,
Q2-NOV-L,Q2,fertilizer,NOV,L,326,4,0,3,3,
Q2-MOD-S,Q2,fertilizer,MOD,S,199,3,1,3,2,
Q2-MOD-M,Q2,fertilizer,MOD,M,291,4,1,3,3,
Q2-MOD-L,Q2,fertilizer,MOD,L,364,4,0,3,3,
Q2-EXP-S,Q2,fertilizer,EXP,S,228,4,0,2,3,
Q2-EXP-M,Q2,fertilizer,EXP,M,426,4,1,3,3,
Q2-EXP-L,Q2,fertilizer,EXP,L,361,4,1,3,3,
Q2-PRO-S,Q2,fertilizer,PRO,S,252,4,1,2,3,
Q2-PRO-M,Q2,fertilizer,PRO,M,333,5,1,3,3,
Q2-PRO-L,Q2,fertilizer,PRO,L,468,5,0,3,3,
Q3-N-S,Q3,pest_control,N,S,264,3,0,2,2,
Q3-N-M,Q3,pest_control,N,M,289,4,0,3,3,
Q3-N-L,Q3,pest_control,N,L,519,4,0,3,3,
Q3-NOV-S,Q3,pest_control,NOV,S,270,3,0,2,2,
Q3-NOV-M,Q3,pest_control,NOV,M,291,3,0,3,2,
Q3-NOV-L,Q3,pest_control,NOV,L,410,4,0,3,3,
Q3-MOD-S,Q3,pest_control,MOD,S,276,3,0,2,2,
Q3-MOD-M,Q3,pest_control,MOD,M,316,4,0,3,3,
Q3-MOD-L,Q3,pest_control,MOD,L,621,4,0,3,3,
Q3-EXP-S,Q3,pest_control,EXP,S,408,4,0,2,3,
Q3-EXP-M,Q3,pest_control,EXP,M,314,4,0,3,3,
Q3-EXP-L,Q3,pest_control,EXP,L,411,4,0,3,3,
