prompt_id,question_id,domain,framing,length,word_count,TD,CC,RS,APK,notes
Q1-N-S,Q1,soil_health,N,S,312,3,1,3,2,
Q1-N-M,Q1,soil_health,N,M,356,3,0,3,2,
Q1-N-L,Q1,soil_health,N,L,262,3,2,3,2,Refusal preface; scored on substantive guidance.
Q1-NOV-S,Q1,soil_health,NOV,S,331,2,1,3,1,
Q1-NOV-M,Q1,soil_health,NOV,M,281,3,2,3,2,Refusal preface; scored on substantive guidance.
Q1-NOV-L,Q1,soil_health,NOV,L,520,3,0,3,2,
Q1-MOD-S,Q1,soil_health,MOD,S,277,3,1,3,2,
Q1-MOD-M,Q1,soil_health,MOD,M,269,3,2,3,2,Refusal preface; scored on substantive guidance.
Q1-MOD-L,Q1,soil_health,MOD,L,531,4,0,3,3,
Q1-EXP-S,Q1,soil_health,EXP,S,315,4,1,2,3,
Q1-EXP-M,Q1,soil_health,EXP,M,240,4,1,3,3,
Q1-EXP-L,Q1,soil_health,EXP,L,691,4,1,3,3,
Q1-PRO-S,Q1,soil_health,PRO,S,295,4,0,2,3,
Q1-PRO-M,Q1,soil_health,PRO,M,428,5,2,3,3,
Q1-PRO-L,Q1,soil_health,PRO,L,747,4,1,3,3,
Q2-N-S,Q2,fertilizer,N,S,246,3,2,3,2,
Q2-N-M,Q2,fertilizer,N,M,339,4,1,3,3,
Q2-N-L,Q2,fertilizer,N,L,415,5,0,3,3,
Q2-NOV-S,Q2,fertilizer,NOV,S,271,3,1,3,2,
Q2-NOV-M,Q2,fertilizer,NOV,M,307,5,0,3,3,
Q2-NOV-L,Q2,fertilizer,NOV,L,692,4,1,3,3,
Q2-MOD-S,Q2,fertilizer,MOD,S,269,3,0,3,2,
Q2-MOD-M,Q2,fertilizer,MOD,M,259,3,2,2,2,Refusal preface; scored on substantive guidance.
Q2-MOD-L,Q2,fertilizer,MOD,L,620,4,0,3,3,
Q2-EXP-S,Q2,fertilizer,EXP,S,243,3,0,2,2,
Q2-EXP-M,Q2,fertilizer,EXP,M,354,4,1,2,3,
Q2-EXP-L,Q2,fertilizer,EXP,L,777,4,0,3,3,
Q2-PRO-S,Q2,fertilizer,PRO,S,207,3,3,1,3,Refusal/deflection response.
Q2-PRO-M,Q2,fertilizer,PRO,M,278,4,2,2,3,Refusal preface; scored on substantive guidance.
Q2-PRO-L,Q2,fertilizer,PRO,L,660,5,1,3,3,
Q3-N-S,Q3,pest_control,N,S,205,3,0,3,2,
Q3-N-M,Q3,pest_control,N,M,306,4,0,3,3,
Q3-N-L,Q3,pest_control,N,L,297,4,2,3,3,Refusal preface; scored on substantive guidance.
Q3-NOV-S,Q3,pest_control,NOV,S,308,3,0,2,2,
Q3-NOV-M,Q3,pest_control,NOV,M,434,3,0,3,2,
Q3-NOV-L,Q3,pest_control,NOV,L,843,4,0,3,3,
Q3-MOD-S,Q3,pest_control,MOD,S,254,3,0,3,2,
Q3-MOD-M,Q3,pest_control,MOD,M,297,4,0,3,3,
Q3-MOD-L,Q3,pest_control,MOD,L,588,4,0,3,3,Identical text to Q3-EXP-L.
Q3-EXP-S,Q3,pest_control,EXP,S,269,4,2,2,3,Refusal preface; scored on substantive guidance.
Q3-EXP-M,Q3,pest_control,EXP,M,463,4,0,3,3,
Q3-EXP-L,Q3,pest_control,EXP,L,588,4,0,3,3,Identical text to Q3-MOD-L.
Q3-PRO-S,Q3,pest_control,PRO,S,314,4,0,2,3,
Q3-PRO-M,Q3,pest_control,PRO,M,493,5,0,3,3,
Q3-PRO-L,Q3,pest_control,PRO,L,609,5,0,3,3,
Q4-N-S,Q4,cover_crops,N,S,272,3,1,3,2,
